Caja Limit Switch para actuadores Ø32 a Ø125;0.900.009.103 /210
Caja Limit Switch para actuadores Ø140 a Ø270;0.900.009.103 /310
Caja Limit Switch para actuadores Ø300 a Ø400;0.900.009.103 /410
