Código ;Tamaño ;Torque ;Cuadrado
0.900.009.342;1/2”;5;9
0.900.009.343;3/4”;10;9
0.900.009.344;1”;11;11
0.900.009.345;1 1/4”;20;11
0.900.009.346;1 1/2”;26;14
0.900.009.347;2”;30;14
